Godrive Consumer,Consumer Electronics,Smart Home,Bengaluru,"Lightspeed, Temasek, Prosus",Series E,$731M,2023-12-10,$731M,"Lightspeed, Temasek, Prosus",N/A,Profitability,Leading smart home platform
Easybase Healthtech,Healthtech,Healthcare Services,Delhi,Prosus,Series H,$908M,2023-09-13,$908M,Prosus,N/A,Strong growth,Leading healthcare services platform
Nexthub Healthtech,Healthtech,AI Diagnostics,Noida,TPG,Series G,$523M,2023-12-20,$523M,TPG,N/A,Profitability,Leading ai diagnostics platform
Primelabs Logistics,Logistics,Trucking,Pune,"Prosus, Temasek",Series G,$436M,2023-11-11,$436M,"Prosus, Temasek",N/A,Strong growth,Leading trucking platform
Smartpoint Edtech,Edtech,Coding Education,Gurgaon,"SoftBank, Blackstone",Series C,$790M,2023-08-02,$790M,"SoftBank, Blackstone",N/A,Market leader,Leading coding education platform
Smarthub E-commerce,E-commerce,Social Commerce,Noida,"Lightspeed, Accel",Series C,$335M,2023-12-22,$335M,"Lightspeed, Accel",N/A,Loss narrowing,Leading social commerce platform
Easyzone Foodtech,Foodtech,Online Food Delivery,Pune,Accel,Series J,$242M,2023-02-21,$242M,Accel,N/A,Loss narrowing,Leading online food delivery platform
Netbase Fintech,Fintech,Cryptocurrency,Delhi,"Prosus, SoftBank, Lightspeed",Seed,$627M,2023-01-13,$627M,"Prosus, SoftBank, Lightspeed",N/A,Strong growth,Leading cryptocurrency platform
Gobase Retail,Retail,Furniture,Pune,SoftBank,Series D,$725M,2023-10-05,$725M,SoftBank,N/A,Profitability,Leading furniture platform
Easypoint Retail,Retail,Furniture,Pune,"Blackstone, Sequoia, Prosus",Series B,$842M,2023-04-06,$842M,"Blackstone, Sequoia, Prosus",N/A,Strong growth,Leading furniture platform
Datahub Fintech,Fintech,Wealth Management,Gurgaon,"Sequoia, Temasek",Series E,$447M,2023-09-03,$447M,"Sequoia, Temasek",N/A,Profitability,Leading wealth management platform
Primeify Logistics,Logistics,Parcel Delivery,Pune,SoftBank,Series J,$521M,2023-03-16,$521M,SoftBank,N/A,Profitability,Leading parcel delivery platform
Quickbase Services,Services,Beauty Services,Bengaluru,"Sequoia, Blackstone",Series C,$675M,2023-05-26,$675M,"Sequoia, Blackstone",N/A,Profitability,Leading beauty services platform
Easypoint Edtech,Edtech,Professional Education,Gurgaon,Temasek,Series B,$464M,2023-10-15,$464M,Temasek,N/A,Loss narrowing,Leading professional education platform
Nethub Retail,Retail,Eyewear,Hyderabad,"Lightspeed, TPG, Prosus",Series E,$558M,2023-04-14,$558M,"Lightspeed, TPG, Prosus",N/A,Strong growth,Leading eyewear platform
Easylabs Edtech,Edtech,Online Learning,Hyderabad,"Tiger Global, Sequoia, Prosus",Series J,$619M,2023-11-16,$619M,"Tiger Global, Sequoia, Prosus",N/A,Loss narrowing,Leading online learning platform
Primebase Mobility,Mobility,Scooter Rentals,Hyderabad,KKR,Series D,$515M,2023-03-05,$515M,KKR,N/A,Market leader,Leading scooter rentals platform
Nethub Mobility,Mobility,Scooter Rentals,Pune,TPG,Series A,$541M,2023-03-26,$541M,TPG,N/A,Strong growth,Leading scooter rentals platform
Easypoint Fintech,Fintech,Wealth Management,Chennai,Lightspeed,Seed,$303M,2023-11-01,$303M,Lightspeed,N/A,Market leader,Leading wealth management platform
Datapoint Foodtech,Foodtech,Meal Kits,Gurgaon,"Prosus, Temasek, KKR",Series C,$466M,2023-12-25,$466M,"Prosus, Temasek, KKR",N/A,Loss narrowing,Leading meal kits platform
Quickzone Fintech,Fintech,Stock Trading,Hyderabad,Tiger Global,Series B,$685M,2023-04-19,$685M,Tiger Global,N/A,Strong growth,Leading stock trading platform
Nextbase Retail,Retail,Beauty & Personal Care,Bengaluru,"Tiger Global, Prosus, Lightspeed",Series H,$412M,2023-07-26,$412M,"Tiger Global, Prosus, Lightspeed",N/A,Profitability,Leading beauty & personal care platform
Smartdrive Retail,Retail,Eyewear,Bengaluru,"Prosus, KKR",Series H,$861M,2023-09-01,$861M,"Prosus, KKR",N/A,Strong growth,Leading eyewear platform
Dataworks Foodtech,Foodtech,Meal Kits,Mumbai,"SoftBank, Prosus, Temasek",Series G,$569M,2023-03-13,$569M,"SoftBank, Prosus, Temasek",N/A,Market leader,Leading meal kits platform
Quickify Foodtech,Foodtech,Meal Kits,Delhi,"TPG, Lightspeed, SoftBank",Series C,$572M,2023-09-23,$572M,"TPG, Lightspeed, SoftBank",N/A,Profitability,Leading meal kits platform
Smarthub Fintech,Fintech,Lending,Bengaluru,"Lightspeed, Sequoia",Series B,$554M,2023-05-20,$554M,"Lightspeed, Sequoia",N/A,Loss narrowing,Leading lending platform
Nextlabs Services,Services,Beauty Services,Bengaluru,"Temasek, TPG",Series G,$946M,2023-10-25,$946M,"Temasek, TPG",N/A,Strong growth,Leading beauty services platform
Easyster Retail,Retail,Eyewear,Hyderabad,"Accel, Blackstone, KKR",Series A,$798M,2023-08-09,$798M,"Accel, Blackstone, KKR",N/A,Profitability,Leading eyewear platform
Easypoint Mobility,Mobility,Bike Taxi,Noida,TPG,Series A,$848M,2023-09-26,$848M,TPG,N/A,Market leader,Leading bike taxi platform
Primelabs Retail,Retail,Eyewear,Chennai,"Blackstone, Prosus",Series J,$828M,2023-01-25,$828M,"Blackstone, Prosus",N/A,Market leader,Leading eyewear platform
Primely Mobility,Mobility,Electric Vehicles,Gurgaon,KKR,Series E,$478M,2023-06-09,$478M,KKR,N/A,Strong growth,Leading electric vehicles platform
Smartly Healthtech,Healthtech,Online Pharmacy,Noida,"Tiger Global, TPG, Blackstone",Series B,$445M,2023-06-05,$445M,"Tiger Global, TPG, Blackstone",N/A,Market leader,Leading online pharmacy platform
Netpoint Retail,Retail,Eyewear,Pune,TPG,Series G,$319M,2023-01-02,$319M,TPG,N/A,Strong growth,Leading eyewear platform
Easyster Retail,Retail,Eyewear,Delhi,Blackstone,Series C,$641M,2023-05-09,$641M,Blackstone,N/A,Strong growth,Leading eyewear platform
Primely Healthtech,Healthtech,Online Pharmacy,Gurgaon,"SoftBank, Lightspeed, Tiger Global",Series D,$795M,2023-09-26,$795M,"SoftBank, Lightspeed, Tiger Global",N/A,Profitability,Leading online pharmacy platform
Primezone Retail,Retail,Eyewear,Chennai,"Tiger Global, Prosus, Temasek",Seed,$654M,2023-03-18,$654M,"Tiger Global, Prosus, Temasek",N/A,Market leader,Leading eyewear platform
Primezone E-commerce,E-commerce,Fashion,Mumbai,"Sequoia, Temasek, Accel",Series C,$967M,2023-09-17,$967M,"Sequoia, Temasek, Accel",N/A,Market leader,Leading fashion platform
Netdrive Foodtech,Foodtech,Meat Delivery,Noida,"TPG, Blackstone",Series F,$242M,2023-05-18,$242M,"TPG, Blackstone",N/A,Market leader,Leading meat delivery platform
Networks Fintech,Fintech,Insurtech,Gurgaon,Prosus,Series H,$467M,2023-01-11,$467M,Prosus,N/A,Market leader,Leading insurtech platform
Quickify Mobility,Mobility,Electric Vehicles,Bengaluru,"TPG, Accel, Blackstone",Series H,$950M,2023-07-10,$950M,"TPG, Accel, Blackstone",N/A,Market leader,Leading electric vehicles platform
Easyhub Fintech,Fintech,Insurtech,Gurgaon,Temasek,Series F,$407M,2023-03-11,$407M,Temasek,N/A,Market leader,Leading insurtech platform
Nextster Healthtech,Healthtech,Healthcare Services,Hyderabad,"Tiger Global, Sequoia",Series H,$292M,2023-06-22,$292M,"Tiger Global, Sequoia",N/A,Loss narrowing,Leading healthcare services platform
Dataify Fintech,Fintech,Insurtech,Bengaluru,"Sequoia, Lightspeed, Tiger Global",Series H,$428M,2023-08-07,$428M,"Sequoia, Lightspeed, Tiger Global",N/A,Loss narrowing,Leading insurtech platform
Nextdrive Mobility,Mobility,Ride-Hailing,Pune,"Temasek, SoftBank, Accel",Series C,$622M,2023-01-14,$622M,"Temasek, SoftBank, Accel",N/A,Profitability,Leading ride-hailing platform
